yyyy-mm-dd,HH:MM,team1,team2,score1,score2
08-12-2018,15:00,Napoli,Frosinone,4,0
08-12-2018,18:00,Cagliari,Roma,2,2
08-12-2018,20:30,Lazio,Sampdoria,2,2
09-12-2018,12:30,Sassuolo,Fiorentina,3,3
09-12-2018,15:00,Udinese,Atalanta,1,3
09-12-2018,15:00,Parma,Chievo,1,1
09-12-2018,15:00,Empoli,Bologna,2,1
09-12-2018,18:00,Genoa,Spal,1,1
09-12-2018,20:30,Milan,Torino,0,0
15-12-2018,18:00,Inter,Udinese,1,0
15-12-2018,20:30,Torino,Juventus,0,1
16-12-2018,12:30,Spal,Chievo,0,0
16-12-2018,15:00,Sampdoria,Parma,2,0
16-12-2018,15:00,Frosinone,Sassuolo,0,2
16-12-2018,15:00,Fiorentina,Empoli,3,1
16-12-2018,18:00,Cagliari,Napoli,0,1
16-12-2018,20:30,Roma,Genoa,3,2
17-12-2018,20:30,Atalanta,Lazio,1,0
18-12-2018,20:30,Bologna,Milan,0,0
22-12-2018,12:30,Lazio,Cagliari,3,1
22-12-2018,15:00,Udinese,Frosinone,1,1
22-12-2018,15:00,Sassuolo,Torino,1,1
22-12-2018,15:00,Napoli,Spal,1,0
22-12-2018,15:00,Milan,Fiorentina,0,1
22-12-2018,15:00,Genoa,Atalanta,3,1
22-12-2018,15:00,Empoli,Sampdoria,2,4
22-12-2018,18:00,Parma,Bologna,0,0
22-12-2018,18:00,Chievo,Inter,1,1
22-12-2018,20:30,Juventus,Roma,1,0
26-12-2018,12:30,Frosinone,Milan,0,0
26-12-2018,15:00,Sampdoria,Chievo,2,0
26-12-2018,15:00,Fiorentina,Parma,0,1
26-12-2018,15:00,Cagliari,Genoa,1,0
26-12-2018,15:00,Bologna,Lazio,0,2
26-12-2018,15:00,Atalanta,Juventus,2,2
26-12-2018,18:00,Torino,Empoli,3,0
26-12-2018,18:00,Spal,Udinese,0,0
26-12-2018,18:00,Roma,Sassuolo,3,1
26-12-2018,20:30,Inter,Napoli,1,0
29-12-2018,12:30,Juventus,Sampdoria,2,1
29-12-2018,15:00,Udinese,Cagliari,2,0
29-12-2018,15:00,Sassuolo,Atalanta,2,6
29-12-2018,15:00,Parma,Roma,0,2
29-12-2018,15:00,Lazio,Torino,1,1
29-12-2018,15:00,Genoa,Fiorentina,0,0
29-12-2018,15:00,Empoli,Inter,0,1
29-12-2018,15:00,Chievo,Frosinone,1,0
29-12-2018,18:00,Napoli,Bologna,3,2
29-12-2018,20:30,Milan,Spal,2,1
19-01-2019,15:00,Roma,Torino,3,2
19-01-2019,18:00,Udinese,Parma,1,2
19-01-2019,20:30,Inter,Sassuolo,0,0
20-01-2019,12:30,Frosinone,Atalanta,0,5
20-01-2019,15:00,Spal,Bologna,1,1
20-01-2019,15:00,Fiorentina,Sampdoria,3,3
20-01-2019,18:00,Cagliari,Empoli,2,2
20-01-2019,20:30,Napoli,Lazio,2,1
21-01-2019,15:00,Genoa,Milan,0,2
21-01-2019,20:30,Juventus,Chievo,3,0
26-01-2019,15:00,Sassuolo,Cagliari,3,0
26-01-2019,18:00,Sampdoria,Udinese,4,0
26-01-2019,20:30,Milan,Napoli,0,0
27-01-2019,12:30,Chievo,Fiorentina,3,4
27-01-2019,15:00,Parma,Spal,2,3
27-01-2019,15:00,Bologna,Frosinone,0,4
27-01-2019,15:00,Atalanta,Roma,3,3
27-01-2019,18:00,Torino,Inter,1,0
27-01-2019,20:30,Lazio,Juventus,1,2
28-01-2019,20:30,Empoli,Genoa,1,3
02-02-2019,15:00,Empoli,Chievo,2,2
02-02-2019,18:00,Napoli,Sampdoria,3,0
02-02-2019,20:30,Juventus,Parma,3,3
03-02-2019,12:30,Spal,Torino,0,0
03-02-2019,15:00,Udinese,Fiorentina,1,1
03-02-2019,15:00,Genoa,Sassuolo,1,1
03-02-2019,18:00,Inter,Bologna,0,1
03-02-2019,20:30,Roma,Milan,1,1
04-02-2019,19:00,Frosinone,Lazio,0,1
04-02-2019,21:00,Cagliari,Atalanta,0,1
07-02-2019,20:30,Lazio,Empoli,1,0
08-02-2019,20:30,Chievo,Roma,0,3
09-02-2019,18:00,Fiorentina,Napoli,0,0
09-02-2019,20:30,Parma,Inter,0,1
10-02-2019,12:30,Bologna,Genoa,1,1
10-02-2019,15:00,Torino,Udinese,1,0
10-02-2019,15:00,Sampdoria,Frosinone,0,1
10-02-2019,15:00,Atalanta,Spal,2,1
10-02-2019,18:00,Sassuolo,Juventus,0,3
10-02-2019,20:30,Milan,Cagliari,3,0
15-02-2019,20:30,Juventus,Frosinone,3,0
16-02-2019,18:00,Cagliari,Parma,2,1
16-02-2019,20:30,Atalanta,Milan,1,3
17-02-2019,12:30,Spal,Fiorentina,1,4
17-02-2019,15:00,Udinese,Chievo,1,0
17-02-2019,15:00,Genoa,Lazio,2,1
17-02-2019,15:00,Empoli,Sassuolo,3,0
17-02-2019,18:00,Inter,Sampdoria,2,1
17-02-2019,20:30,Napoli,Torino,0,0
18-02-2019,20:30,Roma,Bologna,2,1
22-02-2019,20:30,Milan,Empoli,3,0
23-02-2019,15:00,Torino,Atalanta,2,0
23-02-2019,20:30,Frosinone,Roma,2,3
24-02-2019,12:30,Sampdoria,Cagliari,1,0
24-02-2019,15:00,Sassuolo,Spal,1,1
24-02-2019,15:00,Chievo,Genoa,0,0
24-02-2019,15:00,Bologna,Juventus,0,1
24-02-2019,18:00,Parma,Napoli,0,4
24-02-2019,20:30,Fiorentina,Inter,3,3
01-03-2019,20:30,Cagliari,Inter,2,1
02-03-2019,15:00,Empoli,Parma,3,3
02-03-2019,18:00,Milan,Sassuolo,1,0
02-03-2019,20:30,Lazio,Roma,3,0
03-03-2019,12:30,Torino,Chievo,3,0
03-03-2019,15:00,Udinese,Bologna,2,1
03-03-2019,15:00,Spal,Sampdoria,1,2
03-03-2019,15:00,Genoa,Frosinone,0,0
03-03-2019,18:00,Atalanta,Fiorentina,3,1
03-03-2019,20:30,Napoli,Juventus,1,2
08-03-2019,20:30,Juventus,Udinese,4,1
09-03-2019,18:00,Parma,Genoa,1,0
09-03-2019,20:30,Chievo,Milan,1,2
10-03-2019,12:30,Bologna,Cagliari,2,0
10-03-2019,15:00,Sampdoria,Atalanta,1,2
10-03-2019,15:00,Inter,Spal,2,0
10-03-2019,15:00,Frosinone,Torino,1,2
10-03-2019,18:00,Sassuolo,Napoli,1,1
10-03-2019,20:30,Fiorentina,Lazio,1,1
11-03-2019,20:30,Roma,Empoli,2,1
15-03-2019,20:30,Cagliari,Fiorentina,2,1
16-03-2019,15:00,Sassuolo,Sampdoria,3,5
16-03-2019,18:00,Spal,Roma,2,1
16-03-2019,20:30,Torino,Bologna,2,3
17-03-2019,12:30,Genoa,Juventus,2,0
17-03-2019,15:00,Lazio,Parma,4,1
17-03-2019,15:00,Empoli,Frosinone,2,1
17-03-2019,15:00,Atalanta,Chievo,1,1
17-03-2019,18:00,Napoli,Udinese,4,2
17-03-2019,20:30,Milan,Inter,2,3
29-03-2019,20:30,Chievo,Cagliari,0,3
30-03-2019,15:00,Udinese,Genoa,2,0
30-03-2019,18:00,Juventus,Empoli,1,0
30-03-2019,20:30,Sampdoria,Milan,1,0
